name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,year,month,breach_type_hacking_it_incident,breach_type_improper_disposal,breach_type_loss,breach_type_other,breach_type_theft,breach_type_unauthorized_access_disclosure,breach_type_unknown,primary_breach_type,location_desktop_computer,location_electronic_medical_record,location_email,location_laptop,location_network_server,location_other,location_other_portable_electronic_device,location_paper_films,primary_location,is_mega_breach,breach_size_tier,log_individuals_affected,quarter,days_since_epoch,ba_present,entity_business_associate,entity_health_plan,entity_healthcare_clearing_house,entity_healthcare_provider,region,breach_type_gap,location_gap
Central Florida Cardiology Group ,FL,Healthcare Provider,2817,2020-12-07,Unauthorized Access/Disclosure,"Other Portable Electronic Device, Paper/Films",Yes,"Central Florida Cardiology Group, the covered entity (CE), was notified by its business associate (BA), that an employee’s credentials were compromised and the protected health information (PHI) of 2,817 individuals was potentially exposed.  The PHI involved included names, addresses, birthdates, drivers’ license numbers, health insurance information, lab results, financial information, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  The BA offered one year of complimentary credit monitoring and identity restoration services to affected individuals. OCR provided technical assistance to the CE regarding the Breach Notification Rule.",2020,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,True,True,Other Portable Electronic Device,0,Small,7.943782692458625,4,2889,1,False,False,False,True,South,Administrative Safeguard Failure,Physical/Technical Safeguard Failure
"Meade Physicians, Inc. dba Brandenburg Family Medicine",KY,Healthcare Provider,696,2020-12-07,Unauthorized Access/Disclosure,Paper/Films,Yes,"The covered entity (CE), Meade Physicians, Inc. dba Brandenburg Family Medicine, reported that its business associate (BA) hired a subcontractor who mailed the protected health information (PHI) of 696 individuals to the wrong recipients.  The PHI involved included names, health insurance information, financial information, and treatment information.  The CE notified HHS, affected individuals, the media, and provided complimentary credit monitoring services.  In response to the breach, the BA revised and adopted new policies and procedures and retrained its employees.  The CE also updated its business associate agreement.",2020,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,6.546785410760524,4,2889,1,False,False,False,True,South,Administrative Safeguard Failure,Physical Safeguard Failure
Mercy Health,MO,Healthcare Provider,11187,2020-12-04,Unauthorized Access/Disclosure,Electronic Medical Record,No,"The covered entity (CE), Mercy Health, reported that an employee impermissibly accessed the protected health information (PHI) of 11,187 individuals. The PHI involved included names, addresses, dates of birth, diagnoses, lab results, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE sanctioned the employee and provided affected individuals with complimentary credit monitoring services and implemented additional technical safeguards.",2020,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,True,False,False,False,False,False,False,Electronic Medical Record,0,Medium,9.32259705432185,4,2886,0,False,False,False,True,Midwest,Administrative Safeguard Failure,Technical Safeguard Failure
Meharry Medical College,TN,Healthcare Provider,20963,2020-12-04,Hacking/IT Incident,Email,No,"The covered entity (CE), Meharry Medical College, reported that an employee was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 20,976 individuals.  The ePHI involved included names, health insurance information, and other treatment information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  In response to the breach, the CE sanctioned the responsible employee and retrained its staff on recognizing and responding to fraudulent email communications.  OCR provided the CE with technical assistance regarding the Breach Notification Rule and obtained assurances that the CE implemented the corrective actions noted.",2020,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Medium,9.950561959922057,4,2886,0,False,False,False,True,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Family Health Center of Worcester,MA,Healthcare Provider,566,2020-12-04,Hacking/IT Incident,Network Server,No,"Family Health Center of Worcester, the covered entity (CE), reported that it was the victim of an email phishing and ransomware attack that affected the electronic protected health information (ePHI) of 556 individuals.  The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, claims information, clinical information, treatment information, medications prescribed, and health insurance information. The CE notified HHS, affected individuals, the media, and provided a complimentary telephone number for questions or concerns.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  The CE also retrained its workforce members on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",2020,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,6.340359303727752,4,2886,0,False,False,False,True,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
McLeroy & Klein Medical Clinic,TX,Healthcare Provider,3200,2020-12-04,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), McLeroy & Klein Medical Clinic, reported that a former workforce member impermissibly used and disclosed the protected health information (PHI) of 3,200 individuals.  The PHI involved included names, addresses, and health insurance information.  The CE notified HHS, affected individuals, and the media.   In its mitigation efforts, the CE implemented additional administrative safeguards to better protect its PHI.",2020,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,8.071218539969863,4,2886,0,False,False,False,True,South,Administrative Safeguard Failure,Physical Safeguard Failure
"Regional Women's Health Group, LLC d/b/a Sincera Reproductive Medicine",PA,Healthcare Provider,37989,2020-12-03,Hacking/IT Incident,Network Server,No,,2020,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,10.54507824618167,4,2885,0,False,False,False,True,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
Allegheny Health Network,PA,Healthcare Provider,299507,2020-12-03,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Allegheny Health Network, reported that its business associate experienced a ransomware attack affecting the electronic protected health information (ePHI) of approximately 299,207 individuals.  The ePHI involved included names, addresses, dates of birth, and treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice.",2020,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,12.609896407366213,4,2885,1,False,False,False,True,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
AMITA Health,IL,Healthcare Provider,261054,2020-12-03,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Amita Health, reported that its business associate experienced a ransomware attack affecting the electronic protected health information (ePHI) of approximately 261,054 individuals.  The ePHI involved included names, addresses, dates of birth, email addresses, and treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice.",2020,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,12.47248639207416,4,2885,1,False,False,False,True,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
DMBA,UT,Health Plan,774,2020-12-02,Unauthorized Access/Disclosure,Desktop Computer,No,"The covered entity (CE), DMBA, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 774 individuals.  The ePHI involved included names, Social Security numbers, dates of birth, and financial and claims information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  In addition, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications.  OCR provided the CE with technical assistance regarding its Security Rule obligations and obtained assurances that the CE implemented the corrective actions noted.",2020,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,True,False,False,False,False,False,False,False,Desktop Computer,0,Small,6.652863029353347,4,2884,0,False,True,False,False,West,Administrative Safeguard Failure,Physical/Technical Safeguard Failure
Montefiore Medical Center ,NY,Healthcare Provider,670,2020-12-01,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), Montefiore Medical Center, reported that an employee impermissibly accessed the protected health information (PHI) of 670 individuals. The PHI involved included names, dates of birth, addresses, health insurance information, and partial Social Security numbers. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  In its mitigation efforts, the CE strengthened its administrative, technical, and security safeguards to better protect its sensitive data.",2020,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,6.508769136971682,4,2883,0,False,False,False,True,Northeast,Administrative Safeguard Failure,Physical Safeguard Failure
"Liv-On Family Care Center, PA",MN,Healthcare Provider,1580,2020-12-01,Theft,"Desktop Computer, Laptop, Other Portable Electronic Device",No,"The covered entity (CE), Liv-On Family Care Center, reported that multiple computers and electronic devices were stolen from its facility. This breach affected the protected health information (PHI) of 1,581 individuals. The PHI involved included names, addresses, Social Security numbers, dates of birth, drivers’ license numbers, claims information, diagnoses, lab results, medications prescribed, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE implemented additional administrative, technical, and physical safeguards to better protect its PHI.",2020,12,False,False,False,False,True,False,False,Theft,True,False,False,True,False,False,True,False,Desktop Computer,0,Small,7.365812837209472,4,2883,0,False,False,False,True,Midwest,Physical/Technical Safeguard Failure,Physical/Technical Safeguard Failure
"US Med, LLC",FL,Healthcare Provider,685,2020-11-30,Hacking/IT Incident,Network Server,No,"The covered entity (CE), US Med, LLC, reported that it was the victim of a ransomware attack that affected the electronic protected health information (ePHI) of 685 individuals.  The ePHI involved included names, addresses, dates of birth, prescription and medical device information, diagnoses, lab results, and other treatment information.  The CE notified HHS and the affected individuals.  In response to the breach, the CE strengthened its technical safeguards to better protect its sensitive data.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,6.530877627725885,4,2882,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Brazos Valley Plastic Surgery,TX,Healthcare Provider,2255,2020-11-26,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Brazos Valley Plastic Surgery, reported that an employee inadvertently emailed the protected health information (PHI) of 2,255 individuals to the wrong recipients. The PHI involved included names and addresses. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE retrained its workforce on email security.",2020,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,True,False,False,False,False,False,Email,0,Small,7.721348612617949,4,2878,0,False,False,False,True,South,Administrative Safeguard Failure,Technical/Administrative Safeguard Failure
Tufts Health Plan,MA,Health Plan,60545,2020-11-25,Hacking/IT Incident,Email,Yes,"Tufts Health Plan, the covered entity (CE), reported that an employee of its business associate (BA) was the victim of an email phishing attack that affected the protected health information (PHI) of 60,545 individuals. The PHI involved included names, addresses, Social Security numbers, dates of birth, and treatment and health insurance information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. OCR provided the CE with  technical assistance on its breach reporting requirements.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Medium,11.011158685692584,4,2877,1,False,True,False,False,Northeast,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
US Fertility LLC,MD,Business Associate,878550,2020-11-25,Hacking/IT Incident,Email,Yes,"The business associate (BA), US Fertility, reported that an employee was the victim of an email phishing attack affecting the protected health information (PHI) of 878,550 individuals. The PHI involved included names, addresses, dates of birth, and Social Security numbers. The BA notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the BA provided complimentary credit monitoring and identity theft protection services and implemented additional administrative and technical safeguards to better protect its PHI. Staff were retrained on email security.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Large,13.686029238424535,4,2877,1,True,False,False,False,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Bardstown Primary Care dba: Physicians to Children & Adolescents,KY,Healthcare Provider,859,2020-11-24,Unauthorized Access/Disclosure,Other,Yes,"Bardstown Primary Care, PLLC, dba Physicians to Children & Adolescents, the covered entity (CE), reported that its business associate (BA) mailed the protected health information (PHI) of 859 individuals to the wrong recipients.  The PHI involved included names, health insurance information, and claims information.  The CE notified HHS, affected individuals, and the media.  Following the breach, the CE terminated its relationship with the BA.",2020,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,True,False,False,Other,0,Small,6.756932389247553,4,2876,1,False,False,False,True,South,Administrative Safeguard Failure,Unclassified
Hillcrest Nursing Center,IL,Healthcare Provider,1030,2020-11-24,Unauthorized Access/Disclosure,Electronic Medical Record,No,"Hillcrest Nursing Center, the covered entity (CE), reported that a former employee impermissibly accessed its electronic medical records system containing the electronic protected health information (ePHI) of 1,030 individuals.  The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, and treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative and technical safeguards to better protect its ePHI.",2020,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,True,False,False,False,False,False,False,Electronic Medical Record,0,Small,6.93828448401696,4,2876,0,False,False,False,True,Midwest,Administrative Safeguard Failure,Technical Safeguard Failure
Presbyterian Health Plan,NM,Business Associate,3557,2020-11-23,Unauthorized Access/Disclosure,Paper/Films,Yes,"The business associate (BA), Presbyterian Health Plan, reported that an employee sent documents that contained the protected health information (PHI) of 3,357 individuals to the wrong recipients.  The PHI involved included names and diagnoses. The BA notified HHS, affected individuals, the media, and provided substitute notice.  In response to the breach, the BA strengthened its administrative safeguards and retrained its staff. ",2020,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,8.17695386822578,4,2875,1,True,False,False,False,West,Administrative Safeguard Failure,Physical Safeguard Failure
The Tree House Child Advocacy Center of Montgomery County,MD,Business Associate,514,2020-11-23,Unauthorized Access/Disclosure,Network Server,Yes,"The Tree House Child Advocacy Center of Montgomery County, a business associate (BA), reported that documents that contained the protected health information (PHI) of 514 individuals was viewable via the Internet. The PHI involved included names and medical information. As a result of this incident, the BA implemented additional administrative, technical, and security safeguards to better protect PHI.",2020,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,True,False,False,False,Network Server,0,Small,6.244166900663736,4,2875,1,True,False,False,False,South,Administrative Safeguard Failure,Technical Safeguard Failure
"Peachtree Immediate Care FP, LLC",GA,Healthcare Provider,1462,2020-11-23,Hacking/IT Incident,Email,No,"The covered entity (CE), Peachtree Immediate Care, reported that an employee was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 1,462 individuals.  The ePHI involved included names, financial information, and clinical information.   The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  In response to the breach, the CE implemented additional technical safeguards, sanctioned the responsible employee, and retrained its staff on recognizing and responding to fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.
 
",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,7.288244401020124,4,2875,0,False,False,False,True,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
One Touch Point,WI,Business Associate,500,2020-11-23,Unauthorized Access/Disclosure,Paper/Films,Yes,"OneTouchPoint, a business associate (BA), reported that the protected health information of multiple individuals were mailed to the wrong recipients.  

This case is duplicative of several other cases and has been consolidated into an existing investigation.  ",2020,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,6.2166061010848646,4,2875,1,True,False,False,False,Midwest,Administrative Safeguard Failure,Physical Safeguard Failure
Interim HealthCare of the Capital Region,NY,Healthcare Provider,1127,2020-11-23,Hacking/IT Incident,Email,No,"The covered entity (CE), Interim HealthCare of the Capital Region, reported that several employees were the victims of an email phishing scheme that affected the protected health information (PHI) of 1,127 individuals. The PHI involved included names, dates of birth, addresses, financial and health insurance information, diagnoses, medical record numbers, Social Security numbers, and drivers' license numbers. The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE implemented additional administrative and technical safeguards to better protect its PHI. In addition, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,7.028201432058005,4,2875,0,False,False,False,True,Northeast,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
"Bilingual Psychological Associates, PC",TX,Healthcare Provider,1925,2020-11-23,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No,"The covered entity (CE), Bilingual Psychological Associates dba Houston Autism Center, reported that a former workforce member impermissibly accessed the electronic protected health information (ePHI) of 1,925 individuals.  The ePHI involved included names, dates of birth, addresses, drivers’ license numbers, Social Security numbers, diagnoses, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.",2020,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,True,False,False,True,False,False,False,Electronic Medical Record,0,Small,7.563200592358071,4,2875,0,False,False,False,True,South,Administrative Safeguard Failure,Technical Safeguard Failure
"The Nebraska Medical Center and University of Nebraska Medical Center, Affiliated Covered Entities",NE,Healthcare Provider,216472,2020-11-23,Hacking/IT Incident,Network Server,No,"The covered entity (CE), The Nebraska Medical Center and University of Nebraska Medical Center, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 216,472 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license and Social Security numbers, diagnoses, lab results, medications, health insurance information, claims information, and financial information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards. Staff  were retrained.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,12.285221107331182,4,2875,0,False,False,False,True,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
Indian Health Council Inc.,CA,Healthcare Provider,5769,2020-11-20,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Indian Health Council, Inc., reported that it was the victim of a ransomware attack that affected approximately 5,769 individuals.  The electronic protected health information (ePHI) involved included names, birthdates, health insurance information, diagnoses, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE performed a comprehensive risk analysis and corresponding risk management plan and retrained employee on the requirement to protect the privacy and security of ePHI.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         involved included names, birthdates, health insurance information, diagnoses, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE performed a comprehensive risk analysis and corresponding risk management plan and retrained employee on the requirement to protect the privacy and security of ePHI.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.660427359502146,4,2872,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
"Harvard Pilgrim Health Care, Inc. ",MA,Business Associate,8027,2020-11-20,Unauthorized Access/Disclosure,Paper/Films,Yes,"The covered entity (CE), Harvard Pilgrim Health Care, reported that it mistakenly mailed the protected health information (PHI) of 8,027 individuals to the wrong recipients. The PHI involved included names, dates of birth, phone numbers, medications prescribed, diagnoses, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE strengthened its administrative and technical safeguards and retrained its employees.  OCR obtained assurances that the CE implemented the corrective actions noted.",2020,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,8.990690709916228,4,2872,1,True,False,False,False,Northeast,Administrative Safeguard Failure,Physical Safeguard Failure
Louisiana State University- Health Care Services Division,LA,Healthcare Provider,58005,2020-11-20,Hacking/IT Incident,Email,No,"The covered entity (CE), Louisiana State University - Health Care Services Division, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 58,005 individuals.  The ePHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses, and financial and claims information.  The CE notified HHS, affected individuals, the media, and provided substitute notice.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  All staff were retrained on the proper methods of recognizing and responding to fraudulent email communications.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Medium,10.968301732454014,4,2872,0,False,False,False,True,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
"Bayhealth Medical Center, Inc.",DE,Healthcare Provider,78006,2020-11-20,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Bayhealth Medical Center, reported that its business associate experienced a ransomware attack affecting the protected health information (PHI) of approximately 78,006 individuals. The PHI involved included names, addresses, gender, dates of birth, and other treatment information. The CE notified HHS, affected individuals, and the media.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,11.264553845234758,4,2872,1,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Planned Parenthood of Metro Washington,DC,Healthcare Provider,142982,2020-11-20,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Planned Parenthood of Metro Washington, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 142,982 individuals. The PHI involved included names, addresses, dates of birth, medical record numbers, diagnoses, medications prescribed, lab results, health insurance information, Social Security and driver’s license numbers, financial information, and other treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,11.870481021056243,4,2872,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Herron Business Law,PA,Business Associate,1419,2020-11-20,Unauthorized Access/Disclosure,Paper/Films,Yes,"Herron Business Law, the business associate (BA), reported that it impermissibly disclosed the electronic protected health information (ePHI) of 1,419 individuals.  The ePHI involved included names and treatment information.    In response to the breach, the CE provided HIPAA training to its employees and legal representatives.  OCR provided the BA with technical assistance on the Breach Notification Rules and the Privacy Rule provisions pertaining to business associate agreements.",2020,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,7.258412150595307,4,2872,1,True,False,False,False,Northeast,Administrative Safeguard Failure,Physical Safeguard Failure
Legacy Community Health Services,TX,Healthcare Provider,3076,2020-11-20,Hacking/IT Incident,Email,No,"The covered entity (CE), Legacy Community Health Services, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 3,076 patients.  The ePHI involved included names, dates of birth, Social Security numbers, diagnoses, medications prescribed, and lab results.  The CE notified HHS, affected individuals, and the media.  As a result of the breach, the CE retrained its workforce members on the proper methods of identifying and responding to fraudulent email communications.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,8.031710375322042,4,2872,0,False,False,False,True,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Golden Gate Regional Center ,CA,Business Associate,11315,2020-11-20,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Golden Gate Regional Center, reported that it was the victim of a ransomware attack that affected the electronic protected health information (ePHI) of 11,315 individuals.  The ePHI involved included names, identification numbers, and other treatment information.  The CE notified HHS, affected individuals, the media, and provided complimentary credit monitoring and identity theft protection services.  Following OCR’s investigation, the CE revised its policies and procedures and provided security awareness training to all employees. ",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,9.333972932421458,4,2872,1,True,False,False,False,West,Technical Safeguard Failure,Technical Safeguard Failure
Walmart Inc.,AR,Healthcare Provider,524,2020-11-20,Theft,Paper/Films,No,"The covered entity (CE), Walmart, Inc., reported that it was burglarized during civil unrest and documents containing the protected health information (PHI) of 524 individuals was stolen.  The PHI involved included names, birthdates, medications prescribed, and other identifiers.  As a result of the breach, the CE added additional physical safeguards and trained workforce members on how to better prepare for civil unrest, burglaries, and robberies.  OCR obtained assurances that the CE implemented the corrective actions noted.",2020,11,False,False,False,False,True,False,False,Theft,False,False,False,False,False,False,False,True,Paper/Films,0,Small,6.263398262591624,4,2872,0,False,False,False,True,South,Physical/Technical Safeguard Failure,Physical Safeguard Failure
"Hi-Tech Artificial Limbs, Inc.",KY,Healthcare Provider,529,2020-11-20,Loss,Other,No,"The covered entity (CE), Hi-Tech Artificial Limbs, Inc., reported that a hard drive containing the electronic protected health information (ePHI) of 529 individuals was missing and may have been accessed by an unauthorized individual.  The ePHI involved included names, dates of birth, email addresses, home addresses, Social Security numbers, claims information, lab results, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  OCR provided the CE with technical assistance regarding the HIPAA Breach Notification Rule and obtained assurances that the CE implemented the corrective actions noted.",2020,11,False,False,True,False,False,False,False,Loss,False,False,False,False,False,True,False,False,Other,0,Small,6.272877006546167,4,2872,0,False,False,False,True,South,Physical/Technical Safeguard Failure,Unclassified
"AspenPointe, Inc. ",CO,Healthcare Provider,295617,2020-11-19,Hacking/IT Incident,Network Server,No,"The covered entity (CE), AspenPointe, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 295,617 individuals. The PHI involved included names, dates of birth, Social Security numbers, and claims and financial information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional technical and administrative safeguards to protect its PHI. OCR provided technical assistance to the CE regarding its HIPAA Privacy and Breach Notification Rule obligations.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,12.596823359301057,4,2871,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
"Jonathan Woolfson, MD, PC",GA,Healthcare Provider,1693,2020-11-19,Theft,Laptop,No,"The covered entity (CE), Jonathan Woolfson, MD, reported that a laptop computer containing the protected health information (PHI) of 1,693 individuals was stolen from an employee. The PHI involved included names and dates of birth. The CE notified HHS, affected individuals, the media, and provided substitute breach notice on its website. In response to the breach, the CE implemented additional administrative, technical, security, and physical safeguards. OCR provided technical assistance regarding the HIPAA Breach Notification Rule. ",2020,11,False,False,False,False,True,False,False,Theft,False,False,False,True,False,False,False,False,Laptop,0,Small,7.434847875211999,4,2871,0,False,False,False,True,South,Physical/Technical Safeguard Failure,Physical/Technical Safeguard Failure
"Paragon Health, P.C.",MI,Healthcare Provider,685,2020-11-18,Hacking/IT Incident,Email,No,"Paragon Health, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 685 individuals.  The ePHI involved included names, dates of birth, clinical information, and Social Security numbers.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the aforementioned corrective actions.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,6.530877627725885,4,2870,0,False,False,False,True,Midwest,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
University Hopsital,NJ,Healthcare Provider,39207,2020-11-13,Hacking/IT Incident,Network Server,No,"University Hospital, the covered entity (CE), reported that it experienced a cybersecurity incident that compromised the protected health information (PHI) of 39,207 individuals. The PHI involved included names, addresses, dates of birth, Social Security and drivers’ license numbers, passport numbers, health insurance information, and other treatment information. University Hospital notified HHS, affected individuals, and the media. In its mitigation efforts, the CE strengthened its administrative, technical, and security safeguards.",2020,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,10.576636086589383,4,2865,0,False,False,False,True,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
